Created with UCDetector 1.10.0	2015-09-10 17:23:57	http://www.ucdetector.org/	
com.adaptavant.distributedsource.service.DistributedSourceService.moveDealRelatedInfoToDiffAccount(DistributedSourceService.java:2136)	Change visibility of Method "DistributedSourceService.moveDealRelatedInfoToDiffAccount(Long,String)" to private	DistributedSourceService.moveDealRelatedInfoToDiffAccount(Long,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.moveAccountRelatedInfoToDiffAccount(DistributedSourceService.java:2141)	Change visibility of Method "DistributedSourceService.moveAccountRelatedInfoToDiffAccount(String,StringBuilder,String,Account,*,*,*)" to private	DistributedSourceService.moveAccountRelatedInfoToDiffAccount(String,StringBuilder,String,Account,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.callUpdateChannelsTask(DistributedSourceService.java:3172)	Change visibility of Method "DistributedSourceService.callUpdateChannelsTask(String,StringBuilder,String,String,*,*,*,*)" to default	DistributedSourceService.callUpdateChannelsTask(String,StringBuilder,String,String,*,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.DistributedSourceService.getMainContactForFeedBackTask_v2(DistributedSourceService.java:3938)	Change visibility of Method "DistributedSourceService.getMainContactForFeedBackTask_v2(String,StringBuilder,String,Map<String,Object>)" to private	DistributedSourceService.getMainContactForFeedBackTask_v2(String,StringBuilder,String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DistributedSourceService.callUpdateChannelsTask_v2(DistributedSourceService.java:4087)	Change visibility of Method "DistributedSourceService.callUpdateChannelsTask_v2(String,StringBuilder,String,String,*,*,*,*,*)" to default	DistributedSourceService.callUpdateChannelsTask_v2(String,StringBuilder,String,String,*,*,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.MemberService_v2.<init>(MemberService_v2.java:29)	Change visibility of Class "MemberService_v2" to default - May cause compile errors!	MemberService_v2	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.MemberService_v2.constructMember_v1(MemberService_v2.java:33)	Change visibility of Method "MemberService_v2.constructMember_v1(String,String,String,String,String,*)" to private	MemberService_v2.constructMember_v1(String,String,String,String,String,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.MemberService_v2.deleteMembersByMemberID_v1(MemberService_v2.java:51)	Change visibility of Method "MemberService_v2.deleteMembersByMemberID_v1(String,StringBuilder,String,String,*)" to default	MemberService_v2.deleteMembersByMemberID_v1(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.MemberService_v2.deleteMembersUnderDepartmentByContactID_v1(MemberService_v2.java:99)	Change visibility of Method "MemberService_v2.deleteMembersUnderDepartmentByContactID_v1(String,StringBuilder,String,String,*,*)" to default	MemberService_v2.deleteMembersUnderDepartmentByContactID_v1(String,StringBuilder,String,String,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.MemberService_v2.addMembersUnderDepartment_v1(MemberService_v2.java:164)	Change visibility of Method "MemberService_v2.addMembersUnderDepartment_v1(String,StringBuilder,String,String,*,*)" to default	MemberService_v2.addMembersUnderDepartment_v1(String,StringBuilder,String,String,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.MemberService_v2.addMembersUnderGroup_v1(MemberService_v2.java:256)	Change visibility of Method "MemberService_v2.addMembersUnderGroup_v1(String,StringBuilder,String,String,*,*)" to default	MemberService_v2.addMembersUnderGroup_v1(String,StringBuilder,String,String,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.MemberService_v2.deleteMembersUnderGroupByContactID_v1(MemberService_v2.java:347)	Change visibility of Method "MemberService_v2.deleteMembersUnderGroupByContactID_v1(String,StringBuilder,String,String,*,*)" to default	MemberService_v2.deleteMembersUnderGroupByContactID_v1(String,StringBuilder,String,String,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.AccountService.createContactSkillSet_v1(AccountService.java:96)	Change visibility of Method "AccountService.createContactSkillSet_v1(String,Map<String,Object>)" to private	AccountService.createContactSkillSet_v1(String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.constructContactSkillSetObj_v1(AccountService.java:107)	Change visibility of Method "AccountService.constructContactSkillSetObj_v1(String,Map<String,Object>)" to default	AccountService.constructContactSkillSetObj_v1(String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.AccountService.updateContactSkillSetForUpdateUser_v1(AccountService.java:281)	Change visibility of Method "AccountService.updateContactSkillSetForUpdateUser_v1(String,String,String,String,String,*,*,*)" to private	AccountService.updateContactSkillSetForUpdateUser_v1(String,String,String,String,String,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.setSkillsForNewAgent(AccountService.java:826)	Change visibility of Method "AccountService.setSkillsForNewAgent(String,StringBuilder,Map<String,String>,*,*,*)" to private	AccountService.setSkillsForNewAgent(String,StringBuilder,Map<String,String>,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.addEntityOfDealToAccount(AccountService.java:898)	Change visibility of Method "AccountService.addEntityOfDealToAccount(Long,String,Map<Key,Entity>)" to private	AccountService.addEntityOfDealToAccount(Long,String,Map<Key,Entity>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.addHistoryAndContactOfDealToAccount(AccountService.java:924)	Change visibility of Method "AccountService.addHistoryAndContactOfDealToAccount(Long,String,List<String>,List<String>)" to private	AccountService.addHistoryAndContactOfDealToAccount(Long,String,List<String>,List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.createActiUser(AccountService.java:999)	Change visibility of Method "AccountService.createActiUser(String,StringBuilder,String,String)" to private	AccountService.createActiUser(String,StringBuilder,String,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.updateActiUser(AccountService.java:1111)	Change visibility of Method "AccountService.updateActiUser(String,StringBuilder,String,String,*)" to private	AccountService.updateActiUser(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.constructAndPersistNewCustomersJDO(AccountService.java:1359)	Change visibility of Method "AccountService.constructAndPersistNewCustomersJDO(String,String,String,String,Date)" to default	AccountService.constructAndPersistNewCustomersJDO(String,String,String,String,Date)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.AccountService.setReqFieldsForAccountUpdate(AccountService.java:2136)	Change visibility of Method "AccountService.setReqFieldsForAccountUpdate(String,Account,Map<String,Object>)" to private	AccountService.setReqFieldsForAccountUpdate(String,Account,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.constructAndUpdateNewCustomersJDO(AccountService.java:2202)	Change visibility of Method "AccountService.constructAndUpdateNewCustomersJDO(String,NewCustomers,String,String,*)" to private	AccountService.constructAndUpdateNewCustomersJDO(String,NewCustomers,String,String,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.getLinkedProductsForAccount(AccountService.java:2290)	Change visibility of Method "AccountService.getLinkedProductsForAccount(String,StringBuilder,Map<String,Object>,*)" to private	AccountService.getLinkedProductsForAccount(String,StringBuilder,Map<String,Object>,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.createNewAccount_v1(AccountService.java:2464)	Change visibility of Method "AccountService.createNewAccount_v1(String,StringBuilder,String,Map<String,Object>)" to private	AccountService.createNewAccount_v1(String,StringBuilder,String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.createContactSkillSetForExistingAccountAndContact_v1(AccountService.java:2701)	Change visibility of Method "AccountService.createContactSkillSetForExistingAccountAndContact_v1(String,StringBuilder,String,Map<String,Object>)" to private	AccountService.createContactSkillSetForExistingAccountAndContact_v1(String,StringBuilder,String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.createAccountAndContactSkillSetForExistingContact_v1(AccountService.java:2786)	Change visibility of Method "AccountService.createAccountAndContactSkillSetForExistingContact_v1(String,StringBuilder,String,Map<String,Object>)" to private	AccountService.createAccountAndContactSkillSetForExistingContact_v1(String,StringBuilder,String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.insertActivity(AccountService.java:2974)	Change visibility of Method "AccountService.insertActivity(Map<String,Object>)" to default	AccountService.insertActivity(Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.AccountService.createDSSkillSetForContact(AccountService.java:3359)	Change visibility of Method "AccountService.createDSSkillSetForContact(String,String,Map<String,Object>)" to private	AccountService.createDSSkillSetForContact(String,String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.createContactAndAccount_v1(AccountService.java:3387)	Change visibility of Method "AccountService.createContactAndAccount_v1(String,StringBuilder,String,String)" to private	AccountService.createContactAndAccount_v1(String,StringBuilder,String,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.checkIfUserHasAccountInDSAndDeleteIt(AccountService.java:4428)	Change visibility of Method "AccountService.checkIfUserHasAccountInDSAndDeleteIt(String,StringBuilder,String,String)" to private	AccountService.checkIfUserHasAccountInDSAndDeleteIt(String,StringBuilder,String,String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.checkIfContactExistAndHaveAccessToProduct(AccountService.java:4493)	Change visibility of Method "AccountService.checkIfContactExistAndHaveAccessToProduct(String,StringBuilder,StringBuilder,*,*,*)" to private	AccountService.checkIfContactExistAndHaveAccessToProduct(String,StringBuilder,StringBuilder,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.addExistingContactToDepartment(AccountService.java:4570)	Change visibility of Method "AccountService.addExistingContactToDepartment(String,StringBuilder,StringBuilder,*,*,*,*,*)" to private	AccountService.addExistingContactToDepartment(String,StringBuilder,StringBuilder,*,*,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.createUserForExternalCustomers(AccountService.java:4625)	Change visibility of Method "AccountService.createUserForExternalCustomers(String,StringBuilder,StringBuilder,*,*,*,*)" to private	AccountService.createUserForExternalCustomers(String,StringBuilder,StringBuilder,*,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.AccountService.createAccount_v1(AccountService.java:4833)	Change visibility of Method "AccountService.createAccount_v1(String,StringBuilder,String,Map<String,Object>)" to private	AccountService.createAccount_v1(String,StringBuilder,String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.SearchService.getContactInformationAsTokens_v1(SearchService.java:48)	Change visibility of Method "SearchService.getContactInformationAsTokens_v1(String,List<String>)" to private	SearchService.getContactInformationAsTokens_v1(String,List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.SearchService.getContactMethodType(SearchService.java:70)	Change visibility of Method "SearchService.getContactMethodType(String)" to private	SearchService.getContactMethodType(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.SearchService.getContactMethodsAsTokens_v1(SearchService.java:90)	Change visibility of Method "SearchService.getContactMethodsAsTokens_v1(List<ContactMethod>,List<String>)" to private	SearchService.getContactMethodsAsTokens_v1(List<ContactMethod>,List<String>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.SearchService.updateContactIndex_v1(SearchService.java:111)	Change visibility of Method "SearchService.updateContactIndex_v1(String,StringBuilder,String,Contact)" to default	SearchService.updateContactIndex_v1(String,StringBuilder,String,Contact)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.deleteContactIndex_v1(SearchService.java:239)	Change visibility of Method "SearchService.deleteContactIndex_v1(String,String)" to default	SearchService.deleteContactIndex_v1(String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.deleteContactIndex_v1(SearchService.java:248)	Change visibility of Method "SearchService.deleteContactIndex_v1(String,StringBuilder,String,List<String>)" to default	SearchService.deleteContactIndex_v1(String,StringBuilder,String,List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateContactIndexList_v1(SearchService.java:615)	Change visibility of Method "SearchService.updateContactIndexList_v1(String,StringBuilder,String,List<Contact>)" to default	SearchService.updateContactIndexList_v1(String,StringBuilder,String,List<Contact>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateIndexForAccounts(SearchService.java:1051)	Change visibility of Method "SearchService.updateIndexForAccounts(String,StringBuilder,String,List<Account>)" to default	SearchService.updateIndexForAccounts(String,StringBuilder,String,List<Account>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateTagsInformationInSearchIndex(SearchService.java:1899)	Change visibility of Method "SearchService.updateTagsInformationInSearchIndex(String,StringBuilder,String,String,*)" to default	SearchService.updateTagsInformationInSearchIndex(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateSearchIndexForDocument(SearchService.java:1980)	Change visibility of Method "SearchService.updateSearchIndexForDocument(List<Document>)" to default	SearchService.updateSearchIndexForDocument(List<Document>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateIndexForAccountAndCustomFields(SearchService.java:2080)	Change visibility of Method "SearchService.updateIndexForAccountAndCustomFields(String,StringBuilder,String,List<Entity>)" to default	SearchService.updateIndexForAccountAndCustomFields(String,StringBuilder,String,List<Entity>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.getSearchResultsForMessageCapture(SearchService.java:2274)	Change visibility of Method "SearchService.getSearchResultsForMessageCapture(String,String,String,List<String>,*,*)" to default	SearchService.getSearchResultsForMessageCapture(String,String,String,List<String>,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateContactDocumentsInIndex(SearchService.java:2644)	Change visibility of Method "SearchService.updateContactDocumentsInIndex(String,StringBuilder,String,List<Contact>)" to default	SearchService.updateContactDocumentsInIndex(String,StringBuilder,String,List<Contact>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.deleteDocumentsFromIndex(SearchService.java:2778)	Change visibility of Method "SearchService.deleteDocumentsFromIndex(String,StringBuilder,String,List<String>)" to default	SearchService.deleteDocumentsFromIndex(String,StringBuilder,String,List<String>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateTagDocumentsInIndex(SearchService.java:2974)	Change visibility of Method "SearchService.updateTagDocumentsInIndex(String,StringBuilder,String,String)" to default	SearchService.updateTagDocumentsInIndex(String,StringBuilder,String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateContactDocumentInIndex(SearchService.java:3313)	Change visibility of Method "SearchService.updateContactDocumentInIndex(String,StringBuilder,String,Contact)" to default	SearchService.updateContactDocumentInIndex(String,StringBuilder,String,Contact)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.deleteADocumentFromIndex(SearchService.java:3433)	Change visibility of Method "SearchService.deleteADocumentFromIndex(String,String)" to default	SearchService.deleteADocumentFromIndex(String,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateAccountDocumentsInIndex(SearchService.java:3442)	Change visibility of Method "SearchService.updateAccountDocumentsInIndex(String,StringBuilder,String,List<Account>)" to default	SearchService.updateAccountDocumentsInIndex(String,StringBuilder,String,List<Account>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateAttachmentDocumentsInIndex(SearchService.java:3546)	Change visibility of Method "SearchService.updateAttachmentDocumentsInIndex(String,StringBuilder,String,List<Document>)" to default	SearchService.updateAttachmentDocumentsInIndex(String,StringBuilder,String,List<Document>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateAccountAndCustomFieldsDocumentsInIndex(SearchService.java:3596)	Change visibility of Method "SearchService.updateAccountAndCustomFieldsDocumentsInIndex(String,StringBuilder,String,List<Entity>)" to default	SearchService.updateAccountAndCustomFieldsDocumentsInIndex(String,StringBuilder,String,List<Entity>)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.updateTagDocumentsInIndex(SearchService.java:3704)	Change visibility of Method "SearchService.updateTagDocumentsInIndex(String,StringBuilder,String,String,*)" to default	SearchService.updateTagDocumentsInIndex(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.insertIndexForTags_v3(SearchService.java:4038)	Change visibility of Method "SearchService.insertIndexForTags_v3(String,StringBuilder,String,String,*)" to default	SearchService.insertIndexForTags_v3(String,StringBuilder,String,String,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
com.adaptavant.distributedsource.service.SearchService.getContactIndex_v2(SearchService.java:4143)	Change visibility of Method "SearchService.getContactIndex_v2(String,String,String,String,Date,*,*,*,*)" to private	SearchService.getContactIndex_v2(String,String,String,String,Date,*,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.service.DepartmentService.constructDepartmentObj_v1(DepartmentService.java:21)	Change visibility of Method "DepartmentService.constructDepartmentObj_v1(String,Map<String,Object>)" to private	DepartmentService.constructDepartmentObj_v1(String,Map<String,Object>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.util.MigrationUtility.<init>(MigrationUtility.java:18)	Class "MigrationUtility" has 0 references	MigrationUtility	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.util.Utilities.getEnvironmentValues(Utilities.java:293)	Change visibility of Method "Utilities.getEnvironmentValues(String)" to private	Utilities.getEnvironmentValues(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.adaptavant.distributedsource.util.Utilities.makeAsyncPutRequest(Utilities.java:319)	Method "Utilities.makeAsyncPutRequest(String,String)" has 0 references	Utilities.makeAsyncPutRequest(String,String)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.util.Utilities.getResponseFromFuture(Utilities.java:338)	Method "Utilities.getResponseFromFuture(Future<HTTPResponse>)" has 0 references	Utilities.getResponseFromFuture(Future<HTTPResponse>)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.util.EmailUtil.sendMail(EmailUtil.java:30)	Change visibility of Method "EmailUtil.sendMail(boolean,String,String,String,boolean)" to private	EmailUtil.sendMail(boolean,String,String,String,boolean)	org.ucdetector.analyzeMarkerVisibilityPrivate	
