Created with UCDetector 1.10.0	2015-09-11 20:13:13	http://www.ucdetector.org/	
com.adaptavant.distributedsource.dao.DataStoreUtil.getEntityUsingKindAndID(DataStoreUtil.java:411)	Method "DataStoreUtil.getEntityUsingKindAndID(String,Long)" has 0 references	DataStoreUtil.getEntityUsingKindAndID(String,Long)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getObjectByFilter(DataStoreUtil.java:685)	Method "DataStoreUtil.getObjectByFilter(Class<T>,String,String)" has 0 references	DataStoreUtil.getObjectByFilter(Class<T>,String,String)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getObjectByFilter(DataStoreUtil.java:724)	Method "DataStoreUtil.getObjectByFilter(Class<T>,String,List<Object>)" has 0 references	DataStoreUtil.getObjectByFilter(Class<T>,String,List<Object>)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getObjectByFilter(DataStoreUtil.java:781)	Method "DataStoreUtil.getObjectByFilter(Class<T>,String,String,List<Object>)" has 0 references	DataStoreUtil.getObjectByFilter(Class<T>,String,String,List<Object>)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getListOfObject(DataStoreUtil.java:836)	Method "DataStoreUtil.getListOfObject(Class<T>)" has 0 references	DataStoreUtil.getListOfObject(Class<T>)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getListOfObjectByFilter(DataStoreUtil.java:903)	Method "DataStoreUtil.getListOfObjectByFilter(Class<T>,String,String)" has 0 references	DataStoreUtil.getListOfObjectByFilter(Class<T>,String,String)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.getListOfObjectByFilter(DataStoreUtil.java:991)	Method "DataStoreUtil.getListOfObjectByFilter(Class<T>,String,String,List<Object>)" has 0 references	DataStoreUtil.getListOfObjectByFilter(Class<T>,String,String,List<Object>)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.put(DataStoreUtil.java:1041)	Method "DataStoreUtil.put(Entity)" has 0 references	DataStoreUtil.put(Entity)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.put(DataStoreUtil.java:1060)	Method "DataStoreUtil.put(List<Entity>)" has 0 references	DataStoreUtil.put(List<Entity>)	org.ucdetector.analyzeMarkerReference	
com.adaptavant.distributedsource.dao.DataStoreUtil.delete(DataStoreUtil.java:1080)	Method "DataStoreUtil.delete(Key)" has 0 references	DataStoreUtil.delete(Key)	org.ucdetector.analyzeMarkerReference	
